address,contractAddress,vestingish,units,name,symbol,decimals,tokenBalance,logo
0x4865976e6c1400b68150466b9ece305ec8b75958,0x618679df9efcd19694bb1daa8d00718eacfa2883,True,0.0,Universe.XYZ,XYZ,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/10979.png
0x4865976e6c1400b68150466b9ece305ec8b75958,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,True,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x49bb6e24cdb2795e624208c380f85898000453da,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x4a5c681ddc32acc6cca51ac17e9d461e6be87900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x4a5c681ddc32acc6cca51ac17e9d461e6be87900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x4a5c681ddc32acc6cca51ac17e9d461e6be87900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x4a5c681ddc32acc6cca51ac17e9d461e6be87900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x4a5c681ddc32acc6cca51ac17e9d461e6be87900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x4a5c681ddc32acc6cca51ac17e9d461e6be87900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x4a5c681ddc32acc6cca51ac17e9d461e6be87900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x4a5c681ddc32acc6cca51ac17e9d461e6be87900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
